Title,Author,Price,links
Komik Next G Vol. 493: Populer Karena Prestasi," BELLA LUNA GHANIYA, DKK ",Rp 39.000,https://www.gramedia.com//products/komik-next-g-vol-493-populer-karena-prestasi
Final Fantasy : Lost Stranger 06," HAZUKI MINASE, ITSUKI KAMEYA ",Rp 38.400,https://www.gramedia.com//products/final-fantasy-lost-stranger-06
AKASHA : Wotakoi : Love is Hard for Otaku 08, FUJITA  ,Rp 32.000,https://www.gramedia.com//products/akasha-wotakoi-love-is-hard-for-otaku-08
AKASHA : Oshi no Ko : Anak Idola 04, Aka AKASAKA  Yokoyari Mengo ,Rp 38.400,https://www.gramedia.com//products/akasha-oshi-no-ko-anak-idola-04
My Hero Academia 21, Kohei Horikoshi ,Rp 36.000,https://www.gramedia.com//products/my-hero-academia-21
Renungan Harian September 2022,,Rp 6.000,https://www.gramedia.com//products/renungan-harian-september-2022
Renungan Harian Oktober 2022, ,Rp 6.000,https://www.gramedia.com//products/renungan-harian-oktober-2022
Selamat Berguna, Andar Ismail ,Rp 36.000,https://www.gramedia.com//products/selamat-berguna
"Bumi, Laut Dan Keselamatan"," Buce Ranboki, Dkk (Tim Penulis) ",Rp 45.000,https://www.gramedia.com//products/bumi-laut-dan-keselamatan
Selamat Berhikmat, Andar Ismail ,Rp 36.000,https://www.gramedia.com//products/selamat-berhikmat
Silver Spoon 15 (END), Hiromu Arakawa ,Rp 22.400,https://www.gramedia.com//products/silver-spoon-15-end
Seven Deadly Sins 40, Nakaba Suzuki ,Rp 24.000,https://www.gramedia.com//products/seven-deadly-sins-40
SC: Love Judgement, Niko Wakuhara ,Rp 32.000,https://www.gramedia.com//products/sc-love-judgement
Opredo 2 in 1 Poster Hafiz Hafizah - Asmaul Husna, PT Hidayah Insan Mulia ,Rp 60.000,https://www.gramedia.com//products/opredo-2-in-1-poster-hafiz-hafizah-asmaul-husna
Opredo 2 in 1 Poster Hafiz Hafizah - Mengenal Hewan, PT Hidayah Insan Mulia ,Rp 60.000,https://www.gramedia.com//products/opredo-2-in-1-poster-hafiz-hafizah-mengenal-hewan
Why? Biomimetics - Biomimetika, YeaRimDang  ,Rp 88.000,https://www.gramedia.com//products/why-biomimetics-biomimetika
BRAIN SCULPTOR: Seni Membentuk dan Melatih Otak Anak, Irene Phiter ,Rp 96.000,https://www.gramedia.com//products/brain-sculptor-seni-membentuk-dan-melatih-otak-anak
Adobe Photoshop Komplet (Update Version), Jubilee Enterprise ,Rp 92.000,https://www.gramedia.com//products/adobe-photoshop-komplet-update-version
City Lite: The Strange Playlist, Aqessa Aninda ,Rp 92.000,https://www.gramedia.com//products/city-lite-the-strange-playlist
Digital Marketing, Siti Nur Azizah ,Rp 55.000,https://www.gramedia.com//products/digital-marketing
